"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MMRN2",371.25170789458,-2.40810466566531,0.253126984437282,-9.5134253308421,1.84485655593405e-21,3.27871328046663e-19
"ABCA9",353.413745159509,-2.98330880816441,0.313943435318557,-9.50269530285688,2.0452665260403e-21,3.61097187452747e-19
"SVEP1",900.53901229359,-3.15446529177307,0.332074174411446,-9.4992791817187,2.11348159238297e-21,3.70701908582937e-19
"CKAP2",134.010105012088,1.79697597425205,0.189271188446984,9.4941865637167,2.2193732410304e-21,3.84292606756533e-19
"SLIT3",857.545207252182,-2.40122656446085,0.252915751683135,-9.49417562362513,2.21960627691394e-21,3.84292606756533e-19
"TFPI",233.773929180883,-2.14726611964543,0.226199494326713,-9.4927980543759,2.24914426004204e-21,3.86910483092873e-19
"ERG",167.755775170944,-2.15338349162265,0.226962345735934,-9.48784471115779,2.35860319157961e-21,4.031558933072e-19
"DACT2",10.7947711969231,-4.43784007919321,0.467821851349181,-9.48617527461499,2.39666886070891e-21,4.07069655354331e-19
"TNS2",1172.87832738948,-2.00100374320366,0.211391801694163,-9.46585310862088,2.91174400903575e-21,4.88789835946257e-19
"AOC3",1127.94355556797,-3.69185264428479,0.390021632094525,-9.46576379484007,2.91423363211362e-21,4.88789835946257e-19
"APOLD1",901.169375628424,-2.75132293894405,0.290688188678182,-9.46485975730515,2.93955252089798e-21,4.89974108390175e-19
"FOXM1",100.949074208637,3.11971356487911,0.330556902208262,9.43775048724768,3.80868035320065e-21,6.30924357768473e-19
"TMEM220",28.9848261481237,-2.03566747472464,0.215976448453851,-9.42541415648667,4.28411495682753e-21,7.05328275959653e-19
"PLPP3",505.498670494326,-1.68984021851155,0.179632098154313,-9.4072286405066,5.0939045299617e-21,8.33536719305197e-19
"FOSB",3287.45986478152,-3.55453486061799,0.378011319005485,-9.40324980206853,5.29032955608572e-21,8.60432024043129e-19
"PXDC1",227.142544481656,-1.84998950375876,0.197101748026385,-9.38596193226613,6.2344722959067e-21,1.00577133112198e-18
"PTGS2",53.7604407228091,-3.09317264623123,0.329567546338817,-9.38554988375962,6.25889895280108e-21,1.00577133112198e-18
"ABCA6",491.240685912316,-2.54876386129246,0.27167622907467,-9.38162263946887,6.49651210946485e-21,1.03774047005713e-18
"KIF26A",131.048707407294,-2.11685928622376,0.225696244391479,-9.37924019042152,6.64498440502515e-21,1.05517634019677e-18
"PITX1",75.3962071568999,3.33864155854494,0.357166950686867,9.34756575916222,8.9688054876939e-21,1.41580508275149e-18
"PTPRB",612.641596276776,-2.43752148554904,0.261844096036264,-9.30905650517877,1.28972894759557e-20,2.02404479752484e-18
"ADGRF5",478.377825419307,-2.20307053298456,0.23685086147694,-9.30150947835608,1.38465721518537e-20,2.16038726899503e-18
"F10",14.5738594081929,-3.1375665757444,0.337405414550545,-9.29909966004525,1.41639950988789e-20,2.19713856921106e-18
"CXCL2",222.484159170455,-3.66189638991549,0.394043559663622,-9.29312584893277,1.49822316983846e-20,2.31070787274626e-18
"CLEC1A",41.9340623723818,-2.6348930710356,0.284054957656205,-9.27599747871551,1.75964762114319e-20,2.69839448919993e-18
"LRRN4CL",41.261868006689,-3.39817148486965,0.366765298531153,-9.2652480986584,1.94624329038122e-20,2.96757868981081e-18
"CSF3",15.8942686658836,-6.02869781237185,0.651233570493439,-9.25735110338969,2.09566580510046e-20,3.17736087828678e-18
"MOB3C",173.516007338212,-1.22398466950974,0.13224044002349,-9.25575163915308,2.12728348993339e-20,3.18466871208294e-18
"TTK",35.5018664800311,3.1822686148414,0.343823209516523,9.25553751684257,2.13155182786846e-20,3.18466871208294e-18
"AC098617.1",5.39831419960027,-4.32775723632977,0.467597197779603,-9.25531046139761,2.13608722676602e-20,3.18466871208294e-18
"AC105046.1",28.3565298154486,-3.154302630735,0.340933083334533,-9.2519699170406,2.20392744824348e-20,3.26765729287636e-18
"INMT",55.6774709973286,-3.22130808152604,0.348381801886658,-9.24648780183431,2.31990424519472e-20,3.42071155626624e-18
"RMI1",72.574064209399,1.71559110648773,0.18560595897264,9.24318979834386,2.39256081742116e-20,3.50856623477127e-18
"PPP1R14A",69.1369130890664,-2.79055956724601,0.301973952906988,-9.24106049671619,2.44066080337034e-20,3.55965072387209e-18
"DST",5859.67669469936,-1.7258982850894,0.186831126211005,-9.2377449094868,2.51746833832646e-20,3.65182596363939e-18
"PKMYT1",70.3281141258222,3.31670089770347,0.359298758149399,9.23103913519334,2.680189712965e-20,3.86696619016821e-18
"ECT2",181.541237106649,1.96255539241342,0.212735556163933,9.22532851490555,2.8269299832611e-20,4.05687128506924e-18
"CCDC178",6.34340126774661,-3.98534430003669,0.432050409039401,-9.22425767145435,2.85531772234168e-20,4.0758141700405e-18
"SH3D19",698.192075885283,-1.7804497559993,0.193040334179405,-9.22320075526089,2.88361256462263e-20,4.0944246975774e-18
"ITPKC",436.419055228171,-2.12150422377422,0.230054201040791,-9.22175823860768,2.92267819348804e-20,4.12805221054974e-18
"AOX1",106.122688890017,-2.98692101246273,0.324147685997837,-9.21469176393459,3.12173910372981e-20,4.38612516165933e-18
"PLPP1",221.320539919868,-1.78502695125452,0.193832437537697,-9.20912399353884,3.28797205504043e-20,4.59562594109713e-18
"SYNE3",829.130840153842,-2.60575849119044,0.283014843401675,-9.20714426095372,3.34916420517006e-20,4.65690003160331e-18
"SQLE",265.470374552656,2.74191157923793,0.297888365155206,9.20449369618495,3.43285727922309e-20,4.74866793532117e-18
"PER2",571.129745667141,-1.44165241385216,0.156651542615576,-9.20292510230803,3.48335687512885e-20,4.79381359492092e-18
"CDKN1C",145.634494693175,-2.48341876103753,0.27050464196348,-9.18068815016049,4.28345224065856e-20,5.8563135569224e-18
"CABP1",10.9078613499541,-3.04377971012097,0.331555701316077,-9.18029669837978,4.29905265581202e-20,5.8563135569224e-18
"CEP55",35.3654676404348,2.93904872856923,0.32083322946082,9.16067432762024,5.15740209781349e-20,6.99010316651125e-18
"EPAS1",2268.48815334577,-2.20795190745913,0.241074869900268,-9.15878087323061,5.24869024114879e-20,7.07808298047583e-18
"RBP7",62.3372686534522,-2.730175294753,0.298156908290768,-9.15684063939409,5.34389053999257e-20,7.17043232656203e-18
"PYCR1",200.264465052743,2.31626112203257,0.253042316330204,9.15365127708519,5.50410324266094e-20,7.34866241890792e-18
"PAQR4",106.999176860262,1.98983070481523,0.217728648802758,9.13903942249618,6.30094987751685e-20,8.37090549074466e-18
"TINAGL1",600.890466262049,-2.61214217478358,0.28600108908834,-9.13332946776554,6.64243377522886e-20,8.78110112276068e-18
"BMP2",66.8274927462638,-3.28724265252208,0.360203184369374,-9.12607882208823,7.10252856254049e-20,9.34330669138905e-18
"EBF3",94.6707307536582,-3.05743339514718,0.335112242655521,-9.12360996100662,7.26627117490494e-20,9.51208064632922e-18
"AP002956.1",1037.3077561704,-2.38057008428545,0.260961039494973,-9.12231990220634,7.35331044842347e-20,9.57929316475205e-18
"TRIP13",34.8222279283799,2.22649634583204,0.244226628240759,9.11651756350315,7.7577037050233e-20,1.00285065321442e-17
"PALMD",525.754308788733,-2.71135329740948,0.297417987388408,-9.11630571243369,7.77287732406468e-20,1.00285065321442e-17
"ARID5A",464.044630500787,-1.81986933055117,0.199899595633823,-9.10391701784534,8.71313558875023e-20,1.11878328545312e-17
"KIF11",97.4128917613833,2.47946161984382,0.272695741745426,9.0924104790698,9.68672071574297e-20,1.23787065298894e-17
"NR5A2",52.0941789963746,-2.32518914296025,0.255869792784324,-9.08739213667235,1.01442966942172e-19,1.29020069235077e-17
"JPT2",447.983456438035,1.50681211182563,0.165834806369424,9.08622348235485,1.02538849262145e-19,1.29798705603723e-17
"METTL7A",478.92504960644,-1.80519361507589,0.198731654651164,-9.08357361711989,1.05067237730492e-19,1.32374854072089e-17
"MAL2",477.266937349902,2.25724005091262,0.24880992407367,9.07214637565775,1.16695194443164e-19,1.45824244613839e-17
"ADGRA2",607.893297875604,-1.73785739249469,0.19156230758717,-9.07202160166024,1.16828933492232e-19,1.45824244613839e-17
"FHL5",37.6104548110241,-3.09809127373792,0.341563095829103,-9.07033374380708,1.18653017536305e-19,1.47415387898347e-17
"TBX15",134.157114785477,-2.38697746409499,0.263197609615719,-9.0691456794767,1.19953819866951e-19,1.48344733177396e-17
"RASL12",53.4000358365706,-1.62512213268801,0.179317920587533,-9.06279822654263,1.2714608752042e-19,1.56518000215504e-17
"PCDHB15",33.4053664080382,-1.63881241314727,0.18094117533831,-9.05715578603454,1.33896292611705e-19,1.64074927330033e-17
"RAD51AP1",28.2335470152513,2.4129411038344,0.266494838372212,9.0543633736885,1.37366733761439e-19,1.6756243941918e-17
"ADRA1A",52.1329294008339,-4.6042861694108,0.508620795901066,-9.05249295057609,1.39740875617866e-19,1.69687155569279e-17
"ADAM33",239.353691154486,-3.0159145020159,0.333250946809021,-9.04998029531259,1.42994141813205e-19,1.7285544097744e-17
